index, stamp_sec, stamp_usec
632,1638428742,740903
633,1638428742,792308
634,1638428742,842693
635,1638428742,891716
636,1638428742,943042
637,1638428742,992993
638,1638428743,42079
639,1638428743,92333
640,1638428743,141610
641,1638428743,191268
642,1638428743,241025
643,1638428743,291946
644,1638428743,341907
645,1638428743,391164
646,1638428743,441469
647,1638428743,491785
648,1638428743,538809
649,1638428743,591816
650,1638428743,642532
651,1638428743,689814
652,1638428743,739944
653,1638428743,791553
654,1638428743,840334
655,1638428743,890422
656,1638428743,943071
657,1638428743,992385
658,1638428744,42093
659,1638428744,92224
660,1638428744,141774
661,1638428744,198180
662,1638428744,240987
663,1638428744,286409
664,1638428744,336402
665,1638428744,390047
666,1638428744,439852
667,1638428744,488753
668,1638428744,539866
669,1638428744,588587
670,1638428744,641708
671,1638428744,688495
672,1638428744,741145
673,1638428744,788850
674,1638428744,839735
675,1638428744,890768
676,1638428744,938176
677,1638428744,989214
678,1638428745,39511
679,1638428745,89891
680,1638428745,139539
681,1638428745,189808
682,1638428745,239448
683,1638428745,289891
684,1638428745,339483
685,1638428745,389865
686,1638428745,440132
687,1638428745,489323
688,1638428745,540755
689,1638428745,587548
690,1638428745,638727
691,1638428745,690243
692,1638428745,742324
693,1638428745,789159
694,1638428745,841545
695,1638428745,891400
696,1638428745,941902
697,1638428745,991409
698,1638428746,42275
699,1638428746,91304
700,1638428746,142650
701,1638428746,189186
702,1638428746,239504
703,1638428746,290731
704,1638428746,340361
705,1638428746,386359
706,1638428746,439317
707,1638428746,489468
708,1638428746,539428
709,1638428746,588970
710,1638428746,639096
711,1638428746,688605
712,1638428746,739708
713,1638428746,789336
714,1638428746,835881
715,1638428746,885867
716,1638428746,938996
717,1638428746,986094
718,1638428747,39487
719,1638428747,85373
720,1638428747,138105
721,1638428747,194551
722,1638428747,233838
723,1638428747,288073
724,1638428747,336983
725,1638428747,387890
726,1638428747,436843
727,1638428747,485907
728,1638428747,539102
729,1638428747,589081
730,1638428747,638174
731,1638428747,690122
732,1638428747,739013
733,1638428747,788601
734,1638428747,836574
735,1638428747,886796
736,1638428747,936647
737,1638428747,988695
738,1638428748,38110
739,1638428748,88108
740,1638428748,138487
741,1638428748,188878
742,1638428748,238533
743,1638428748,288670
744,1638428748,338266
745,1638428748,387288
746,1638428748,435665
747,1638428748,488675
748,1638428748,538078
749,1638428748,588170
750,1638428748,636647
751,1638428748,687301
752,1638428748,738443
753,1638428748,791293
754,1638428748,835998
755,1638428748,886277
756,1638428748,936478
757,1638428748,987048
758,1638428749,35622
759,1638428749,85785
760,1638428749,135715
761,1638428749,185089
762,1638428749,235515
763,1638428749,287351
764,1638428749,336351
765,1638428749,387321
766,1638428749,437060
767,1638428749,486731
768,1638428749,536560
769,1638428749,585766
770,1638428749,635553
771,1638428749,685708
772,1638428749,736104
773,1638428749,785997
774,1638428749,835875
775,1638428749,885922
776,1638428749,936558
777,1638428749,986304
778,1638428750,36654
779,1638428750,87258
780,1638428750,135001
781,1638428750,192976
782,1638428750,235164
783,1638428750,285493
784,1638428750,334379
785,1638428750,387363
786,1638428750,435043
787,1638428750,482037
788,1638428750,534791
789,1638428750,584511
790,1638428750,634425
791,1638428750,685007
792,1638428750,734177
793,1638428750,786409
794,1638428750,834074
795,1638428750,886328
796,1638428750,936577
797,1638428750,984419
798,1638428751,36942
799,1638428751,85396
800,1638428751,135717
801,1638428751,183140
802,1638428751,234997
803,1638428751,283561
804,1638428751,333235
805,1638428751,382952
806,1638428751,436268
